CLIP_NAME,DURATION,TIMESTAMP
4.L,0:07.408,0:00.000
8.L,0:14.769,0:07.408
8.L,0:14.769,0:22.177
8.L,0:14.769,0:36.946
8.L,0:14.769,0:51.715
8.L,0:14.769,1:06.485
8.L,0:14.769,1:21.254
8.L,0:14.769,1:36.023
8.L,0:14.769,1:50.792
8.L,0:14.769,2:05.562
8.L,0:14.769,2:20.331
8.L,0:14.769,2:35.100
8.L,0:14.769,2:49.869
8.L,0:14.769,3:04.639
7.L,0:12.923,3:19.408
8.L,0:14.769,3:32.331
8.L,0:14.769,3:47.100
8.L,0:14.769,4:01.869
x.L,0:08.067,4:16.639
x.L,0:02.063,0:00.000
8.L,0:16.991,0:02.063
8.L,0:16.991,0:19.054
8.L,0:16.991,0:36.045
8.L,0:16.991,0:53.036
8.L,0:16.991,1:10.027
8.L,0:16.991,1:27.019
8.L,0:16.991,1:44.010
8.L,0:16.991,2:01.001
8.L,0:16.991,2:17.992
8.L,0:16.991,2:34.983
8.L,0:16.991,2:51.974
8.L,0:15.867,0:00.041
8.L,0:15.867,0:15.909
8.L,0:15.867,0:31.777
8.L,0:15.867,0:47.645
8.L,0:15.867,1:03.512
8.L,0:15.867,1:19.380
8.L,0:15.867,1:35.248
8.L,0:15.867,1:51.116
8.L,0:15.867,2:06.984
8.L,0:15.867,2:22.851
8.L,0:15.867,2:38.719
8.L,0:15.867,2:54.587
8.L,0:15.867,3:10.455
8.L,0:15.867,3:26.322
8.L,0:15.867,3:42.190
x.L,0:06.714,3:58.058
8.L,0:15.207,0:00.039
8.L,0:15.207,0:15.247
8.L,0:15.207,0:30.455
8.L,0:15.207,0:45.663
8.L,0:15.207,1:00.871
8.L,0:15.207,1:16.079
8.L,0:15.184,1:31.286
8.L,0:15.207,1:46.471
8.L,0:15.207,2:01.679
8.L,0:15.207,2:16.887
8.L,0:15.207,2:32.095
8.L,0:15.207,2:47.303
8.L,0:15.207,3:02.511
x.L,0:08.787,3:17.719
4.L,0:07.762,0:00.000
8.L,0:15.323,0:07.762
8.L,0:15.396,0:23.092
8.L,0:15.360,0:38.489
8.L,0:15.360,0:53.849
8.L,0:15.359,1:09.209
6.L,0:11.520,1:24.569
8.L,0:15.360,1:36.089
8.L,0:15.360,1:51.449
8.L,0:15.360,2:06.809
8.L,0:15.360,2:22.169
8.L,0:15.360,2:37.529
8.L,0:15.360,2:52.889
8.L,0:15.360,3:08.249
x.L,0:14.070,3:23.609
8.L,0:15.682,0:00.000
8.L,0:15.609,0:15.682
8.L,0:15.609,0:31.292
8.L,0:15.609,0:46.902
8.L,0:15.609,1:02.512
8.L,0:15.609,1:18.121
8.L,0:15.609,1:33.731
8.L,0:15.609,1:49.341
8.L,0:15.609,2:04.951
8.L,0:15.609,2:20.560
8.L,0:15.609,2:36.170
8.L,0:15.609,2:51.780
8.L,0:15.609,3:07.403
8.L,0:15.609,3:23.013
8.L,0:15.609,3:38.623
8.L,0:15.609,3:54.233
8.L,0:15.609,4:09.842
x.L,0:23.467,4:25.452
8.L,0:15.360,0:00.114
8.L,0:15.360,0:15.474
8.L,0:15.360,0:30.834
8.L,0:15.360,0:46.194
4.L,0:07.680,1:01.554
8.L,0:15.360,1:09.234
8.L,0:15.360,1:24.594
4.L,0:07.680,1:39.954
8.L,0:15.360,1:47.634
8.L,0:15.360,2:02.994
8.L,0:15.360,2:18.354
8.L,0:15.360,2:33.714
8.L,0:15.360,2:49.074
8.L,0:15.360,3:04.434
