File1,File2,True Positives,False Positives,False Negatives,Precision,Recall,F1 Score
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_46.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO46L.csv,0,23,9,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_47.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO47L.csv,0,15,4,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_48.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO48L.csv,3,16,15,0.1579,0.1667,0.1622
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_49.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO49L.csv,11,5,5,0.6875,0.6875,0.6875
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_50.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO50L.csv,0,28,11,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_51.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO51L.csv,10,10,9,0.5000,0.5263,0.5128
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_52.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO52L.csv,0,10,6,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_53.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO53L.csv,0,16,15,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_54.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO54L.csv,0,19,15,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_55.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO55L.csv,2,19,4,0.0952,0.3333,0.1481
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_56.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO56L.csv,0,20,11,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_57.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO57L.csv,1,8,16,0.1111,0.0588,0.0769
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_58.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO58L.csv,0,11,17,0.0000,0.0000,0.0000
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_59.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO59L.csv,10,9,5,0.5263,0.6667,0.5882
C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\DO NOT TOUCH\GroundTruthData\GroundTruthLeft\parsed_data_60.csv,C:\Users\nicol\Documents\GitHub\Music-Structure-Analysis\Files\Segmentino Parsed data\Left\parsed_VitalicSEGMENTINO60L.csv,2,22,16,0.0833,0.1111,0.0952
