File1,File2,Timestamp1,Duration1,Timestamp2,Duration2,Time Difference,Duration Difference
parsed_data_8.csv,parsed_VitalicSegmented8L.csv,149.427,14.222,235.6,4.6,86.173s,9.622s
parsed_data_8.csv,parsed_VitalicSegmented8L.csv,163.65,14.222,240.2,8.2,76.550s,6.022s
parsed_data_8.csv,parsed_VitalicSegmented8L.csv,177.872,14.222,248.4,15.4,70.528s,1.178s
parsed_data_8.csv,parsed_VitalicSegmented8L.csv,192.094,14.222,263.8,28.6,71.706s,14.378s
parsed_data_8.csv,parsed_VitalicSegmented8L.csv,206.316,14.222,292.4,14.2,86.084s,0.022s
parsed_data_8.csv,parsed_VitalicSegmented8L.csv,220.539,14.222,306.6,5.8,86.061s,8.422s
parsed_data_9.csv,parsed_VitalicSegmented9L.csv,0.0,6.436,0.0,33.8,0.000s,27.364s
parsed_data_9.csv,parsed_VitalicSegmented9L.csv,6.436,13.061,33.8,12.2,27.364s,0.861s
parsed_data_9.csv,parsed_VitalicSegmented9L.csv,19.497,13.061,46.0,10.0,26.503s,3.061s
parsed_data_9.csv,parsed_VitalicSegmented9L.csv,32.559,13.061,56.0,7.8,23.441s,5.261s
parsed_data_9.csv,parsed_VitalicSegmented9L.csv,45.62,13.061,63.8,20.0,18.180s,6.939s
parsed_data_9.csv,parsed_VitalicSegmented9L.csv,58.681,13.061,83.8,25.8,25.119s,12.739s
parsed_data_9.csv,parsed_VitalicSegmented9L.csv,71.742,13.061,109.6,12.0,37.858s,1.061s
parsed_data_9.csv,parsed_VitalicSegmented9L.csv,84.804,13.061,121.6,15.0,36.796s,1.939s
parsed_data_9.csv,parsed_VitalicSegmented9L.csv,97.865,13.061,136.6,11.0,38.735s,2.061s
parsed_data_9.csv,parsed_VitalicSegmented9L.csv,110.926,13.061,147.6,16.2,36.674s,3.139s
parsed_data_9.csv,parsed_VitalicSegmented9L.csv,123.987,13.061,163.8,9.2,39.813s,3.861s
parsed_data_9.csv,parsed_VitalicSegmented9L.csv,137.048,13.061,173.0,16.2,35.952s,3.139s
parsed_data_9.csv,parsed_VitalicSegmented9L.csv,150.11,13.061,189.2,12.2,39.090s,0.861s
parsed_data_9.csv,parsed_VitalicSegmented9L.csv,163.171,13.061,201.4,18.6,38.229s,5.539s
parsed_data_9.csv,parsed_VitalicSegmented9L.csv,176.232,13.061,220.0,5.4,43.768s,7.661s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,0.0,14.189,0.0,44.6,0.000s,30.411s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,14.189,14.014,44.6,11.4,30.411s,2.614s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,28.204,14.014,56.0,7.0,27.796s,7.014s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,42.218,14.014,63.0,14.0,20.782s,0.014s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,56.233,14.014,77.0,7.2,20.767s,6.814s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,70.248,14.014,84.2,13.4,13.952s,0.614s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,84.262,14.014,97.6,8.6,13.338s,5.414s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,98.277,14.014,106.2,12.0,7.923s,2.014s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,112.291,14.014,118.2,11.4,5.909s,2.614s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,126.306,14.014,129.6,18.0,3.294s,3.986s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,140.321,14.014,147.6,6.0,7.279s,8.014s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,154.335,14.014,153.6,26.2,0.735s,12.186s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,168.35,14.014,179.8,13.6,11.450s,0.414s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,182.364,14.014,193.4,16.0,11.036s,1.986s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,196.379,14.014,209.4,7.0,13.021s,7.014s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,210.394,14.014,216.4,14.4,6.006s,0.386s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,224.408,14.014,230.8,12.4,6.392s,1.614s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,238.423,14.014,243.2,9.0,4.777s,5.014s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,252.437,14.014,252.2,21.2,0.237s,7.186s
parsed_data_10.csv,parsed_VitalicSegmented10L.csv,266.452,14.014,273.4,6.2,6.948s,7.814s
parsed_data_11.csv,parsed_VitalicSegmented11L.csv,0.317,9.112,0.0,28.6,0.317s,19.488s
