File1,File2,True Positives,False Positives,False Negatives,Precision,Recall,F1 Score
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_63.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented63L.csv,3,11,8,0.2143,0.2727,0.2400
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_64.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented64L.csv,1,13,20,0.0714,0.0476,0.0571
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_65.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented65L.csv,0,15,6,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_66.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented66L.csv,0,46,16,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_67.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented67L.csv,3,10,4,0.2308,0.4286,0.3000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_68.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented68L.csv,0,13,24,0.0000,0.0000,0.0000
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_69.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented69L.csv,1,16,18,0.0588,0.0526,0.0556
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_70.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented70L.csv,1,24,21,0.0400,0.0455,0.0426
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_71.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented71L.csv,5,18,10,0.2174,0.3333,0.2632
C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Export Folder\L2\parsed_data_72.csv,C:\Users\xxmal\Documents\GitHub\4. Semester\Music-Structure-Analysis\Files\Parsed data\Left\parsed_VitalicSegmented72L.csv,0,21,25,0.0000,0.0000,0.0000
Overall,,100,1196,1126,0.0772,0.0816,0.0793
